Headline,Sentiment,Sector
,Neutral,Retail
Major technology firm acquires a smaller rival in a multi-billion dollar deal,Negative,Finance
Semiconductor shortages weigh heavily on tech sector profits,Negative,Construction
"Global trade talks collapse, causing market turmoil",Neutral,Consumer Goods
Major oil spill sends energy stocks plummeting,Neutral,Retail
Healthcare stocks gain on robust demand and strong outlook,Positive,Industrials
E-commerce earnings report beats all analyst expectations,Positive,Media & Entertainment
UK's FTSE 100 sees a boost from favorable trade data,Positive,Industrials
Major oil spill sends energy stocks plummeting,Positive,Utilities
Consumer Discretionary stocks outperform as spending increases,Positive,Industrials
Healthcare stocks gain on robust demand and strong outlook,Positive,Media & Entertainment
Supply chain issues impact manufacturing sector earnings,Neutral,Retail
Financial services stocks rally on strong profit margins,Positive,Finance
Major oil spill sends energy stocks plummeting,Neutral,Real Estate
New IPO for a popular software firm is oversubscribed,Positive,Finance
Mining company stock surges on commodity price boom,Neutral,Transportation
Major technology firm acquires a smaller rival in a multi-billion dollar deal,Positive,Energy
A massive data breach sends a tech company's stock tumbling,Negative,Automotive
Major oil spill sends energy stocks plummeting,Positive,Utilities
A massive data breach sends a tech company's stock tumbling,Negative,Real Estate
Gold prices surge as investors flee riskier assets,Positive,Real Estate
Crude oil prices drop to a multi-year low,Neutral,Materials
Consumer Discretionary stocks outperform as spending increases,Positive,Finance
Geopolitical ceasefire prompts a broad market recovery,Negative,Telecommunications
ASX 200 gains on strong export performance,Positive,Finance
New housing data release shows a slowdown in market activity,Positive,Consumer Goods
,Positive,Energy
Dow Jones plunges as market fears recession,Positive,Pharmaceuticals
,Positive,Consumer Goods
Tech Giant's New Product Launch Sparks Sector-Wide Gains,Neutral,Agriculture
Gold prices surge as investors flee riskier assets,Positive,Telecommunications
Crude oil prices drop to a multi-year low,Neutral,Aerospace & Defense
Central bank maintains status quo on interest rates,Neutral,Automotive
Government subsidy program gives a lift to the agriculture sector,Neutral,Technology
ASX 200 gains on strong export performance,Neutral,Materials
New housing data release shows a slowdown in market activity,Positive,Construction
Government subsidy program gives a lift to the agriculture sector,Negative,Agriculture
Media and Entertainment companies report a surge in streaming revenue,Negative,Consumer Goods
Central Bank Governor signals potential shift in policy,Neutral,Materials
Massive stock buyback program announced by a consumer goods company,Neutral,Agriculture
Retail sales report surpasses all forecasts,Positive,Real Estate
Real Estate sector shows signs of overheating as interest rates fall,,Pharmaceuticals
Central Bank's dovish tone hints at future rate cuts,Positive,Media & Entertainment
ASX 200 gains on strong export performance,Positive,Finance
Healthcare stocks gain on robust demand and strong outlook,Positive,Utilities
,Positive,Aerospace & Defense
Consumer Discretionary stocks outperform as spending increases,Neutral,Real Estate
Government spending bill is expected to stimulate the economy,Negative,Automotive
Government spending bill is expected to stimulate the economy,Neutral,Media & Entertainment
New IPO for a popular software firm is oversubscribed,Neutral,Retail
Automotive industry faces headwinds from rising material costs,Neutral,Healthcare
Central Bank Governor signals potential shift in policy,Negative,Consumer Goods
Government subsidy program gives a lift to the agriculture sector,Positive,Real Estate
Semiconductor shortages weigh heavily on tech sector profits,Neutral,Pharmaceuticals
Merger talks between two banks fall through,Positive,Industrials
ASX 200 gains on strong export performance,Negative,Agriculture
,Neutral,Pharmaceuticals
Major technology firm acquires a smaller rival in a multi-billion dollar deal,Neutral,Industrials
Massive stock buyback program announced by a consumer goods company,Neutral,Retail
Crude oil prices drop to a multi-year low,Positive,Pharmaceuticals
E-commerce earnings report beats all analyst expectations,Positive,Automotive
Manufacturing PMI data signals economic expansion,Neutral,Pharmaceuticals
Federal Reserve Chairman's speech causes market volatility,Negative,Utilities
E-commerce earnings report beats all analyst expectations,Neutral,Automotive
Government subsidy program gives a lift to the agriculture sector,Neutral,Agriculture
Financial sector bracing for new capital requirements,Positive,Consumer Goods
Semiconductor shortages weigh heavily on tech sector profits,Negative,Consumer Goods
Market sentiment turns positive on vaccine trial results,Negative,Energy
Crude oil prices drop to a multi-year low,Negative,Technology
Market sentiment turns positive on vaccine trial results,Negative,Automotive
New housing data release shows a slowdown in market activity,Neutral,Finance
Utilities sector remains stable during market fluctuations,Neutral,Construction
Real Estate sector shows signs of overheating as interest rates fall,Negative,Telecommunications
Central bank maintains status quo on interest rates,Neutral,Real Estate
New IPO for a popular software firm is oversubscribed,Negative,Automotive
Government spending bill is expected to stimulate the economy,Neutral,Materials
Media and Entertainment companies report a surge in streaming revenue,Neutral,Retail
Major technology firm acquires a smaller rival in a multi-billion dollar deal,Neutral,Media & Entertainment
Merger talks between two banks fall through,Positive,Media & Entertainment
Dow Jones plunges as market fears recession,Neutral,Transportation
Utilities sector remains stable during market fluctuations,Neutral,Automotive
Market braces for a major policy announcement from the EU,Neutral,Finance
Geopolitical ceasefire prompts a broad market recovery,Positive,Automotive
Consumer confidence index reaches a decade high,Positive,Pharmaceuticals
Nikkei 225 index benefits from a weaker yen,Negative,Pharmaceuticals
Retail sales report surpasses all forecasts,Negative,Transportation
Geopolitical ceasefire prompts a broad market recovery,Positive,Healthcare
China's Shanghai Composite falls after new trade restrictions,Positive,Automotive
UK's FTSE 100 sees a boost from favorable trade data,Negative,Transportation
Energy company's dividend hike excites shareholders,Negative,Pharmaceuticals
Banking stocks dip after a major scandal is revealed,Positive,Pharmaceuticals
A massive data breach sends a tech company's stock tumbling,Negative,Healthcare
Utilities sector remains stable during market fluctuations,Positive,Finance
Central Bank's dovish tone hints at future rate cuts,Negative,Real Estate
Nikkei 225 index benefits from a weaker yen,Negative,Energy
Automotive industry faces headwinds from rising material costs,Neutral,Pharmaceuticals
Tech Giant's New Product Launch Sparks Sector-Wide Gains,Neutral,Finance
Real Estate sector shows signs of overheating as interest rates fall,Neutral,Industrials
Financial sector bracing for new capital requirements,Positive,Transportation
Dow Jones plunges as market fears recession,Negative,Media & Entertainment
,Negative,Consumer Goods
Manufacturing PMI data signals economic expansion,Negative,Telecommunications
Major oil spill sends energy stocks plummeting,Positive,Agriculture
Healthcare stocks gain on robust demand and strong outlook,Neutral,Utilities
Manufacturing PMI data signals economic expansion,Neutral,Construction
Merger talks between two banks fall through,Negative,Technology
Federal Reserve Chairman's speech causes market volatility,Negative,Media & Entertainment
Semiconductor shortages weigh heavily on tech sector profits,Positive,Aerospace & Defense
Geopolitical ceasefire prompts a broad market recovery,Positive,Healthcare
Consumer confidence index reaches a decade high,Positive,Energy
Geopolitical ceasefire prompts a broad market recovery,Negative,Energy
Semiconductor shortages weigh heavily on tech sector profits,Negative,Transportation
Media and Entertainment companies report a surge in streaming revenue,Negative,Transportation
Tech Giant's New Product Launch Sparks Sector-Wide Gains,Positive,Transportation
New housing data release shows a slowdown in market activity,Negative,Energy
,Negative,Media & Entertainment
Market sentiment turns positive on vaccine trial results,Neutral,Aerospace & Defense
Mining company stock surges on commodity price boom,Positive,Materials
Central Bank Governor signals potential shift in policy,Neutral,Construction
UK's FTSE 100 sees a boost from favorable trade data,Positive,Industrials
A massive data breach sends a tech company's stock tumbling,Positive,Construction
Consumer confidence index reaches a decade high,Positive,Agriculture
Real Estate sector shows signs of overheating as interest rates fall,Positive,Telecommunications
Government spending bill is expected to stimulate the economy,Neutral,Retail
Pharmaceutical company's drug approval drives stock upward,Negative,Pharmaceuticals
Energy company's dividend hike excites shareholders,Neutral,Construction
Bond yields tumble as investors seek safe havens,Neutral,Industrials
Healthcare stocks gain on robust demand and strong outlook,Positive,Transportation
Aerospace and Defense sector sees rally amid geopolitical tensions,Neutral,Pharmaceuticals
Gold prices surge as investors flee riskier assets,Negative,Utilities
New housing data release shows a slowdown in market activity,Negative,Healthcare
Central Bank Governor signals potential shift in policy,Neutral,Construction
Media and Entertainment companies report a surge in streaming revenue,Negative,Retail
Retail sales report surpasses all forecasts,Negative,Transportation
Banking stocks dip after a major scandal is revealed,Negative,Healthcare
Dow Jones plunges as market fears recession,Neutral,Consumer Goods
Nikkei 225 index benefits from a weaker yen,Neutral,Aerospace & Defense
,Neutral,Pharmaceuticals
New housing data release shows a slowdown in market activity,Negative,Finance
Quarterly report shows surprising losses for retail giants,Positive,Telecommunications
,Positive,Transportation
Real Estate sector shows signs of overheating as interest rates fall,Neutral,Agriculture
Central Bank Governor signals potential shift in policy,Negative,Industrials
,Negative,Technology
Automotive industry faces headwinds from rising material costs,Positive,Agriculture
Government policy shift boosts renewable energy sector,Neutral,Automotive
Mining company stock surges on commodity price boom,Negative,Consumer Goods
Record-high inflation data rattles investors,Negative,Construction
Massive stock buyback program announced by a consumer goods company,Negative,Pharmaceuticals
Pharmaceutical company's drug approval drives stock upward,Negative,Pharmaceuticals
Pharmaceutical company's drug approval drives stock upward,Positive,Construction
Government policy shift boosts renewable energy sector,Negative,Pharmaceuticals
Healthcare stocks gain on robust demand and strong outlook,Positive,Retail
Consumer Discretionary stocks outperform as spending increases,Positive,Utilities
Financial services stocks rally on strong profit margins,Neutral,Healthcare
UK's FTSE 100 sees a boost from favorable trade data,Neutral,Utilities
Government spending bill is expected to stimulate the economy,Negative,Aerospace & Defense
Market sentiment turns positive on vaccine trial results,Positive,Aerospace & Defense
Dow Jones plunges as market fears recession,Positive,Transportation
Record-high inflation data rattles investors,Positive,Energy
Federal Reserve Chairman's speech causes market volatility,Neutral,Energy
Government policy shift boosts renewable energy sector,Neutral,Energy
Crude oil prices drop to a multi-year low,Neutral,Energy
E-commerce earnings report beats all analyst expectations,Positive,Energy
Financial sector bracing for new capital requirements,Neutral,Industrials
Major technology firm acquires a smaller rival in a multi-billion dollar deal,Neutral,Pharmaceuticals
Bond yields tumble as investors seek safe havens,Neutral,Consumer Goods
Major oil spill sends energy stocks plummeting,Negative,Consumer Goods
Merger talks between two banks fall through,Negative,Materials
Gold prices surge as investors flee riskier assets,Negative,Automotive
Major technology firm acquires a smaller rival in a multi-billion dollar deal,Negative,Construction
Crude oil prices drop to a multi-year low,Positive,Energy
Retail sales report surpasses all forecasts,Positive,Industrials
Consumer confidence index reaches a decade high,Positive,Media & Entertainment
Major technology firm acquires a smaller rival in a multi-billion dollar deal,Neutral,Automotive
New regulations on cryptocurrencies cause a market dip,Positive,Technology
Geopolitical ceasefire prompts a broad market recovery,Positive,Media & Entertainment
Automotive industry faces headwinds from rising material costs,Neutral,Utilities
New housing data release shows a slowdown in market activity,Neutral,Retail
Market braces for a major policy announcement from the EU,Neutral,Aerospace & Defense
New IPO for a popular software firm is oversubscribed,Neutral,Media & Entertainment
Central Bank's dovish tone hints at future rate cuts,Positive,Construction
E-commerce earnings report beats all analyst expectations,Negative,Automotive
Energy company's dividend hike excites shareholders,Negative,Transportation
Nikkei 225 index benefits from a weaker yen,Negative,Retail
Merger talks between two banks fall through,Negative,Aerospace & Defense
A massive data breach sends a tech company's stock tumbling,Positive,Finance
Nikkei 225 index benefits from a weaker yen,Neutral,Real Estate
Central Bank's dovish tone hints at future rate cuts,Positive,Media & Entertainment
Mining company stock surges on commodity price boom,Positive,Technology
Federal Reserve Chairman's speech causes market volatility,Positive,Energy
E-commerce earnings report beats all analyst expectations,Positive,Real Estate
Central bank maintains status quo on interest rates,Positive,Automotive
Automotive industry faces headwinds from rising material costs,Neutral,Agriculture
Tech Giant's New Product Launch Sparks Sector-Wide Gains,,Automotive
Government spending bill is expected to stimulate the economy,Neutral,Consumer Goods
Supply chain issues impact manufacturing sector earnings,Positive,Aerospace & Defense
Consumer confidence index reaches a decade high,Positive,Technology
Massive stock buyback program announced by a consumer goods company,Negative,Retail
Tech Giant's New Product Launch Sparks Sector-Wide Gains,Positive,Transportation
Pharmaceutical company's drug approval drives stock upward,Positive,Transportation
Semiconductor shortages weigh heavily on tech sector profits,Neutral,Technology
Central bank maintains status quo on interest rates,Positive,Media & Entertainment
UK's FTSE 100 sees a boost from favorable trade data,Positive,Energy
New IPO for a popular software firm is oversubscribed,Neutral,Construction
Banking stocks dip after a major scandal is revealed,Neutral,Technology
Energy company's dividend hike excites shareholders,Neutral,Industrials
Automotive industry faces headwinds from rising material costs,Positive,Industrials
Utilities sector remains stable during market fluctuations,Positive,Healthcare
New IPO for a popular software firm is oversubscribed,Positive,Technology
ASX 200 gains on strong export performance,Positive,Telecommunications
Financial services stocks rally on strong profit margins,Negative,Automotive
Pharmaceutical company's drug approval drives stock upward,Positive,Agriculture
ASX 200 gains on strong export performance,Positive,Materials
Healthcare stocks gain on robust demand and strong outlook,Neutral,Automotive
,,Industrials
Aerospace and Defense sector sees rally amid geopolitical tensions,Positive,Utilities
Major technology firm acquires a smaller rival in a multi-billion dollar deal,Positive,Technology
Automotive industry faces headwinds from rising material costs,Positive,Consumer Goods
Central Bank Governor signals potential shift in policy,Positive,Pharmaceuticals
Semiconductor shortages weigh heavily on tech sector profits,Neutral,Automotive
Pharmaceutical company's drug approval drives stock upward,,Industrials
Retail sales report surpasses all forecasts,Neutral,Technology
Supply chain issues impact manufacturing sector earnings,Positive,Aerospace & Defense
Supply chain issues impact manufacturing sector earnings,Positive,Transportation
Tech Giant's New Product Launch Sparks Sector-Wide Gains,Negative,Consumer Goods
Quarterly report shows surprising losses for retail giants,Neutral,Energy
Consumer Discretionary stocks outperform as spending increases,Positive,Agriculture
Consumer confidence index reaches a decade high,Positive,Construction
,Positive,Real Estate
Banking stocks dip after a major scandal is revealed,Negative,Consumer Goods
Energy company's dividend hike excites shareholders,Neutral,Finance
Consumer Discretionary stocks outperform as spending increases,Positive,Healthcare
Market braces for a major policy announcement from the EU,Negative,Healthcare
Geopolitical ceasefire prompts a broad market recovery,Neutral,Aerospace & Defense
Pharmaceutical company's drug approval drives stock upward,Positive,Technology
Government policy shift boosts renewable energy sector,,Utilities
Market sentiment turns positive on vaccine trial results,Neutral,Healthcare
Pharmaceutical company's drug approval drives stock upward,Negative,Healthcare
Market braces for a major policy announcement from the EU,Positive,Aerospace & Defense
Consumer confidence index reaches a decade high,Positive,Materials
E-commerce earnings report beats all analyst expectations,,Aerospace & Defense
Unexpected rise in unemployment fuels market pessimism,Neutral,Transportation
Gold prices surge as investors flee riskier assets,Negative,Industrials
A massive data breach sends a tech company's stock tumbling,Neutral,Media & Entertainment
"Global trade talks collapse, causing market turmoil",Positive,Construction
ASX 200 gains on strong export performance,Negative,Industrials
Central bank maintains status quo on interest rates,Negative,Automotive
Major oil spill sends energy stocks plummeting,Neutral,Transportation
Media and Entertainment companies report a surge in streaming revenue,Positive,Transportation
Real Estate sector shows signs of overheating as interest rates fall,Positive,Aerospace & Defense
New regulations on cryptocurrencies cause a market dip,Negative,Transportation
Financial sector bracing for new capital requirements,Neutral,Finance
Semiconductor shortages weigh heavily on tech sector profits,Negative,Consumer Goods
Energy company's dividend hike excites shareholders,Neutral,Consumer Goods
Nikkei 225 index benefits from a weaker yen,Neutral,Finance
Retail sales report surpasses all forecasts,Negative,Real Estate
New regulations on cryptocurrencies cause a market dip,Negative,Agriculture
Dow Jones plunges as market fears recession,Neutral,Technology
Manufacturing PMI data signals economic expansion,Neutral,Construction
Consumer Discretionary stocks outperform as spending increases,Positive,Agriculture
Banking stocks dip after a major scandal is revealed,Negative,Finance
Geopolitical ceasefire prompts a broad market recovery,Positive,Agriculture
Central Bank Governor signals potential shift in policy,Positive,Industrials
Crude oil prices drop to a multi-year low,Negative,Pharmaceuticals
Aerospace and Defense sector sees rally amid geopolitical tensions,Negative,Real Estate
New housing data release shows a slowdown in market activity,Neutral,Pharmaceuticals
China's Shanghai Composite falls after new trade restrictions,Neutral,Utilities
Crude oil prices drop to a multi-year low,Positive,Technology
Utilities sector remains stable during market fluctuations,Negative,Transportation
Government subsidy program gives a lift to the agriculture sector,Neutral,Energy
Government subsidy program gives a lift to the agriculture sector,Positive,Real Estate
Dow Jones plunges as market fears recession,Neutral,Aerospace & Defense
Nikkei 225 index benefits from a weaker yen,Positive,Pharmaceuticals
ASX 200 gains on strong export performance,Negative,Energy
Government policy shift boosts renewable energy sector,Negative,Automotive
ASX 200 gains on strong export performance,Positive,Agriculture
Unexpected rise in unemployment fuels market pessimism,Positive,Automotive
Healthcare stocks gain on robust demand and strong outlook,Negative,Utilities
Utilities sector remains stable during market fluctuations,Neutral,Technology
Merger talks between two banks fall through,Positive,Industrials
Consumer Discretionary stocks outperform as spending increases,Positive,Energy
Geopolitical ceasefire prompts a broad market recovery,Positive,Materials
,Neutral,Materials
Tech Giant's New Product Launch Sparks Sector-Wide Gains,Negative,Finance
Real Estate sector shows signs of overheating as interest rates fall,Positive,Pharmaceuticals
Major oil spill sends energy stocks plummeting,Positive,Utilities
Major oil spill sends energy stocks plummeting,Negative,Construction
Massive stock buyback program announced by a consumer goods company,Positive,Automotive
,Negative,Materials
E-commerce earnings report beats all analyst expectations,Positive,Healthcare
Central Bank's dovish tone hints at future rate cuts,Negative,Retail
Media and Entertainment companies report a surge in streaming revenue,Neutral,Consumer Goods
Market braces for a major policy announcement from the EU,Positive,Automotive
,Positive,Real Estate
Mining company stock surges on commodity price boom,Neutral,Energy
Gold prices surge as investors flee riskier assets,Negative,Consumer Goods
Central bank maintains status quo on interest rates,Negative,Media & Entertainment
Central Bank's dovish tone hints at future rate cuts,Positive,Materials
Manufacturing PMI data signals economic expansion,Positive,Consumer Goods
Tech Giant's New Product Launch Sparks Sector-Wide Gains,Neutral,Healthcare
China's Shanghai Composite falls after new trade restrictions,Positive,Telecommunications
Retail sales report surpasses all forecasts,Negative,Real Estate
ASX 200 gains on strong export performance,Negative,Automotive
Central Bank's dovish tone hints at future rate cuts,Neutral,Telecommunications
Financial services stocks rally on strong profit margins,Negative,Construction
China's Shanghai Composite falls after new trade restrictions,Negative,Technology
Unexpected rise in unemployment fuels market pessimism,Neutral,Retail
Federal Reserve Chairman's speech causes market volatility,Neutral,Real Estate
New IPO for a popular software firm is oversubscribed,Neutral,Industrials
Mining company stock surges on commodity price boom,Neutral,Finance
ASX 200 gains on strong export performance,Negative,Telecommunications
New regulations on cryptocurrencies cause a market dip,Positive,Transportation
Manufacturing PMI data signals economic expansion,Neutral,Utilities
China's Shanghai Composite falls after new trade restrictions,Negative,Healthcare
Financial services stocks rally on strong profit margins,Negative,Pharmaceuticals
Aerospace and Defense sector sees rally amid geopolitical tensions,Neutral,Real Estate
Crude oil prices drop to a multi-year low,Positive,Telecommunications
Semiconductor shortages weigh heavily on tech sector profits,Neutral,Media & Entertainment
Mining company stock surges on commodity price boom,,Industrials
Consumer confidence index reaches a decade high,Positive,Aerospace & Defense
Financial services stocks rally on strong profit margins,Positive,Materials
Central bank maintains status quo on interest rates,Positive,Healthcare
Consumer Discretionary stocks outperform as spending increases,Positive,Finance
Crude oil prices drop to a multi-year low,Negative,Utilities
Merger talks between two banks fall through,Negative,Technology
Bond yields tumble as investors seek safe havens,Negative,Construction
Geopolitical ceasefire prompts a broad market recovery,Neutral,Agriculture
Central Bank's dovish tone hints at future rate cuts,Neutral,Finance
ASX 200 gains on strong export performance,Negative,Industrials
Financial sector bracing for new capital requirements,Negative,Agriculture
Central bank maintains status quo on interest rates,Positive,Consumer Goods
Market braces for a major policy announcement from the EU,Positive,Retail
Government subsidy program gives a lift to the agriculture sector,Positive,Media & Entertainment
Utilities sector remains stable during market fluctuations,Positive,Telecommunications
,Negative,Utilities
ASX 200 gains on strong export performance,Positive,Telecommunications
Aerospace and Defense sector sees rally amid geopolitical tensions,Neutral,Pharmaceuticals
Retail sales report surpasses all forecasts,Negative,Finance
Consumer Discretionary stocks outperform as spending increases,Neutral,Energy
"Global trade talks collapse, causing market turmoil",Negative,Pharmaceuticals
Bond yields tumble as investors seek safe havens,Negative,Finance
Government spending bill is expected to stimulate the economy,Neutral,Healthcare
Government spending bill is expected to stimulate the economy,Neutral,Utilities
Unexpected rise in unemployment fuels market pessimism,Neutral,Telecommunications
Mining company stock surges on commodity price boom,Positive,Telecommunications
Dow Jones plunges as market fears recession,Negative,Energy
Energy company's dividend hike excites shareholders,Neutral,Technology
Pharmaceutical company's drug approval drives stock upward,Negative,Media & Entertainment
Financial sector bracing for new capital requirements,Negative,Healthcare
Utilities sector remains stable during market fluctuations,Positive,Automotive
Central Bank Governor signals potential shift in policy,,Automotive
China's Shanghai Composite falls after new trade restrictions,Neutral,Finance
Supply chain issues impact manufacturing sector earnings,Negative,Finance
China's Shanghai Composite falls after new trade restrictions,Negative,Telecommunications
Government subsidy program gives a lift to the agriculture sector,Positive,Materials
Automotive industry faces headwinds from rising material costs,,Energy
,Negative,Aerospace & Defense
Dow Jones plunges as market fears recession,Neutral,Finance
Utilities sector remains stable during market fluctuations,Positive,Agriculture
New regulations on cryptocurrencies cause a market dip,Positive,Energy
Major oil spill sends energy stocks plummeting,Negative,Retail
Manufacturing PMI data signals economic expansion,Neutral,Telecommunications
ASX 200 gains on strong export performance,Positive,Industrials
Consumer confidence index reaches a decade high,Neutral,Healthcare
"Global trade talks collapse, causing market turmoil",Positive,Technology
Consumer confidence index reaches a decade high,Positive,Agriculture
ASX 200 gains on strong export performance,Positive,Pharmaceuticals
Merger talks between two banks fall through,Positive,Automotive
Manufacturing PMI data signals economic expansion,Positive,Materials
Bond yields tumble as investors seek safe havens,Neutral,Real Estate
"Global trade talks collapse, causing market turmoil",Positive,Utilities
,Neutral,Media & Entertainment
Bond yields tumble as investors seek safe havens,Negative,Telecommunications
Energy company's dividend hike excites shareholders,Positive,Technology
Government subsidy program gives a lift to the agriculture sector,Negative,Energy
Unexpected rise in unemployment fuels market pessimism,Neutral,Construction
Government policy shift boosts renewable energy sector,Neutral,Telecommunications
,Negative,Pharmaceuticals
Major technology firm acquires a smaller rival in a multi-billion dollar deal,Negative,Consumer Goods
Consumer Discretionary stocks outperform as spending increases,Neutral,Healthcare
Unexpected rise in unemployment fuels market pessimism,Positive,Pharmaceuticals
"Global trade talks collapse, causing market turmoil",Negative,Utilities
Major technology firm acquires a smaller rival in a multi-billion dollar deal,Neutral,Aerospace & Defense
,Negative,Real Estate
Central Bank Governor signals potential shift in policy,,Healthcare
Geopolitical ceasefire prompts a broad market recovery,Positive,Media & Entertainment
,Neutral,Aerospace & Defense
Geopolitical ceasefire prompts a broad market recovery,Positive,Materials
Market braces for a major policy announcement from the EU,Positive,Healthcare
Market braces for a major policy announcement from the EU,Neutral,Industrials
Government policy shift boosts renewable energy sector,Neutral,Retail
Utilities sector remains stable during market fluctuations,Neutral,Real Estate
Quarterly report shows surprising losses for retail giants,Negative,Construction
UK's FTSE 100 sees a boost from favorable trade data,Neutral,Materials
Energy company's dividend hike excites shareholders,Negative,Technology
China's Shanghai Composite falls after new trade restrictions,Positive,Pharmaceuticals
Dow Jones plunges as market fears recession,Negative,Industrials
Utilities sector remains stable during market fluctuations,Negative,Materials
New IPO for a popular software firm is oversubscribed,Positive,Automotive
Utilities sector remains stable during market fluctuations,Neutral,Pharmaceuticals
Gold prices surge as investors flee riskier assets,Neutral,Media & Entertainment
UK's FTSE 100 sees a boost from favorable trade data,Neutral,Materials
Record-high inflation data rattles investors,Positive,Telecommunications
,Positive,Real Estate
Mining company stock surges on commodity price boom,,Retail
Banking stocks dip after a major scandal is revealed,Neutral,Energy
Utilities sector remains stable during market fluctuations,Negative,Finance
Government spending bill is expected to stimulate the economy,Positive,Aerospace & Defense
New housing data release shows a slowdown in market activity,Positive,Utilities
ASX 200 gains on strong export performance,Positive,Telecommunications
Financial sector bracing for new capital requirements,Positive,Agriculture
E-commerce earnings report beats all analyst expectations,Negative,Transportation
Major technology firm acquires a smaller rival in a multi-billion dollar deal,Positive,Technology
Dow Jones plunges as market fears recession,Negative,Pharmaceuticals
Crude oil prices drop to a multi-year low,Negative,Materials
Dow Jones plunges as market fears recession,Negative,Automotive
Real Estate sector shows signs of overheating as interest rates fall,Positive,Agriculture
Aerospace and Defense sector sees rally amid geopolitical tensions,Neutral,Real Estate
Bond yields tumble as investors seek safe havens,Positive,Construction
Government subsidy program gives a lift to the agriculture sector,Negative,Finance
Manufacturing PMI data signals economic expansion,Negative,Energy
"Global trade talks collapse, causing market turmoil",Negative,Automotive
,Positive,Automotive
New IPO for a popular software firm is oversubscribed,Positive,Agriculture
Government spending bill is expected to stimulate the economy,,Media & Entertainment
Retail sales report surpasses all forecasts,Positive,Construction
E-commerce earnings report beats all analyst expectations,Positive,Construction
Automotive industry faces headwinds from rising material costs,Negative,Real Estate
Federal Reserve Chairman's speech causes market volatility,,Materials
Central Bank's dovish tone hints at future rate cuts,Positive,Agriculture
A massive data breach sends a tech company's stock tumbling,Positive,Transportation
Pharmaceutical company's drug approval drives stock upward,Negative,Agriculture
Nikkei 225 index benefits from a weaker yen,Neutral,Real Estate
Major oil spill sends energy stocks plummeting,Neutral,Healthcare
Supply chain issues impact manufacturing sector earnings,Negative,Real Estate
Mining company stock surges on commodity price boom,Negative,Aerospace & Defense
Major oil spill sends energy stocks plummeting,Negative,Materials
Gold prices surge as investors flee riskier assets,Positive,Technology
Tech Giant's New Product Launch Sparks Sector-Wide Gains,Neutral,Retail
Consumer Discretionary stocks outperform as spending increases,Neutral,Construction
Consumer Discretionary stocks outperform as spending increases,Neutral,Industrials
Central Bank's dovish tone hints at future rate cuts,Positive,Industrials
Gold prices surge as investors flee riskier assets,Neutral,Finance
Merger talks between two banks fall through,Negative,Pharmaceuticals
New regulations on cryptocurrencies cause a market dip,Negative,Utilities
Central Bank's dovish tone hints at future rate cuts,Neutral,Automotive
Supply chain issues impact manufacturing sector earnings,Neutral,Agriculture
Government subsidy program gives a lift to the agriculture sector,Negative,Automotive
Central Bank Governor signals potential shift in policy,Neutral,Agriculture
Market sentiment turns positive on vaccine trial results,,Technology
Real Estate sector shows signs of overheating as interest rates fall,,Agriculture
Pharmaceutical company's drug approval drives stock upward,Positive,Real Estate
Automotive industry faces headwinds from rising material costs,Negative,Materials
Mining company stock surges on commodity price boom,Neutral,Transportation
UK's FTSE 100 sees a boost from favorable trade data,Positive,Energy
Geopolitical ceasefire prompts a broad market recovery,Negative,Utilities
Crude oil prices drop to a multi-year low,Negative,Agriculture
New regulations on cryptocurrencies cause a market dip,Neutral,Consumer Goods
E-commerce earnings report beats all analyst expectations,Neutral,Pharmaceuticals
A massive data breach sends a tech company's stock tumbling,Positive,Consumer Goods
ASX 200 gains on strong export performance,Negative,Aerospace & Defense
Tech Giant's New Product Launch Sparks Sector-Wide Gains,Neutral,Media & Entertainment
New IPO for a popular software firm is oversubscribed,Positive,Retail
"Global trade talks collapse, causing market turmoil",Positive,Construction
,Neutral,Materials
,Neutral,Industrials
Merger talks between two banks fall through,Negative,Finance
,Neutral,Transportation
Government policy shift boosts renewable energy sector,Negative,Pharmaceuticals
Market braces for a major policy announcement from the EU,Neutral,Pharmaceuticals
Utilities sector remains stable during market fluctuations,Neutral,Technology
,Positive,Consumer Goods
Quarterly report shows surprising losses for retail giants,,Automotive
Government policy shift boosts renewable energy sector,Positive,Telecommunications
Financial sector bracing for new capital requirements,Negative,Retail
China's Shanghai Composite falls after new trade restrictions,Neutral,Pharmaceuticals
Automotive industry faces headwinds from rising material costs,Positive,Consumer Goods
Market sentiment turns positive on vaccine trial results,Neutral,Technology
,Neutral,Transportation
Real Estate sector shows signs of overheating as interest rates fall,Neutral,Technology
Retail sales report surpasses all forecasts,Positive,Retail
Gold prices surge as investors flee riskier assets,Negative,Construction
Government subsidy program gives a lift to the agriculture sector,Neutral,Consumer Goods
China's Shanghai Composite falls after new trade restrictions,Negative,Real Estate
Unexpected rise in unemployment fuels market pessimism,Positive,Construction
Federal Reserve Chairman's speech causes market volatility,Neutral,Utilities
A massive data breach sends a tech company's stock tumbling,Positive,Healthcare
UK's FTSE 100 sees a boost from favorable trade data,Neutral,Finance
New regulations on cryptocurrencies cause a market dip,Negative,Aerospace & Defense
Real Estate sector shows signs of overheating as interest rates fall,Positive,Healthcare
Banking stocks dip after a major scandal is revealed,Neutral,Pharmaceuticals
Unexpected rise in unemployment fuels market pessimism,Neutral,Construction
